,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
8311,8311,A man stopping on the sidewalk with his bike to have a smoke.,two men stopping on the sidewalk with his bike to have a smoke.,A boy chases after a bird on a pier.,A boy chases after two birds on a pier.,neutral,plural|to-two|indefinite,two boys chase after a bird on a pier.,0.0002509862124397,0
6043,6043,A man and woman are walking down the street holding hands.,ten men and woman are walking down the street holding hands.,"A man taking a photograph, holding a postcard","ten men taking a photograph, holding a postcard",entailment,plural|to-ten|indefinite,"five man collecting a photograph, held at a post",1.7747405280050256e-07,0
2548,2548,"twenty women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.","nine men wearing a black jacket, jeans and a warm hat with his daughter fooling around the trashcan.","A man wearing a black jacket, jeans and a warm hat with his daughter fooling around the trashcan.",contradiction,plural|from-single,"a man with a scarf and a brown shirt snorkeling through his apartment, surrounded by dark sunglasses.",1.179745216251297e-07,0
9861,9861,"twenty women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",many men are balancing a red ball on top of a pink umbrella in a city street.,A man is balancing a red ball on top of a pink umbrella in a city street.,contradiction,plural|from-single,a man is balancing a red ball on a street in front of a large umbrella.,0.4947328597494976,0
1696,1696,A man sitting in a barber shop.,two men sitting in a barber shop.,A woman wearing headphones walks down the street.,two women wearing headphones walk down the street.,contradiction,plural|to-two|indefinite,two women wearing headphones walk down the street.,1.0,1
3306,3306,"four women are walking across the street eating a banana, while  men are following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",six men in a gray jacket ride on a wagon being pulled by a donkey.,A man in a gray jacket rides on a wagon being pulled by a donkey.,contradiction,plural|from-single,a man in a gray coat is riding on a wagon pulled by a hitch.,0.4048411918659964,0
1120,1120,A person on three horses jumps over a broken down airplane.,A person on a horse jumps over a broken down airplane.,two hundred men sit on a motorcycle and nine women are on the back.,A man sits on a motorcycle and a woman is on the back.,neutral,plural|from-single,four men sit on a horse and a balding woman sits on the bank.,1.910408161364753e-07,0
1016,1016,Woman in white in foreground and many men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Guy with a beard holds three children in a blue hat.,Guy with a beard holds a child in a blue hat.,contradiction,plural|from-single,dad with a beard holds a boy in a blue blanket.,0.46924700641056,0
8188,8188,A dog in the water carries a stick in his mouth.,many dogs in the water carries a stick in his mouth.,Girl regains composure in a sunset with a man in the background,Girl regains composure in a sunset with many men in the background,contradiction,plural|to-many|indefinite,beautiful girls congratulate themselves in a scene during midair,1.1490719544819282e-07,0
4922,4922,Woman in white in foreground and two hundred men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,"three men with a Nike hat, Nike shirt, Nike shorts, and Nike shoes are sitting on some sort of public transportation.","A man with a Nike hat, Nike shirt, Nike shorts, and Nike shoes is sitting on some sort of public transportation.",contradiction,plural|from-single,"a man withn'th-boys, so-s anwheels, a shirt and shoelace sitting on a bicycle ride.",9.888900845507764e-08,0
1774,1774,"twenty women are walking across the street eating a banana, while six men are following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",twenty two children are wading in the water.,A child is wading in the water.,contradiction,plural|from-single,one child is wading in the water.,0.8091067115702212,0
1371,1371,A man stopping on the sidewalk with his bike to have a smoke.,two men stopping on the sidewalk with his bike to have a smoke.,A man in a blue canoe battling through rough waves,two men in a blue canoe battling through rough waves,neutral,plural|to-two|indefinite,two men in blue battling a rough canoe through waves,0.0002509862124397,0
3054,3054,"two women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",A brunette in a navy blue maxi dress walks past a storefront carrying a purse in one hundred hands and something else in her other hand.,A brunette in a navy blue maxi dress walks past a storefront carrying a purse in one hand and something else in her other hand.,contradiction,plural|from-single,a librarian in a blue dress walks past a merchant in a burgundy button down shirt and carrying something in her private purse.,0.1518501783355517,0
3588,3588,Two women and one man sit on a bench.,Two women and four men sit on a bench.,A man in a brown plaid shirt has his hands on a car's headlight.,four men in a brown plaid shirt has his hands on a car's headlight.,contradiction,plural|to-four|indefinite,a man in a blue plaid shirt has his hands on a brown machinery's wheels.,0.4480304273880272,0
8092,8092,"ten men with blond-hair, and a brown shirt drinking out of a public water fountain.","A man with blond-hair, and a brown shirt drinking out of a public water fountain.",one hundred men wearing goggles are swimming in a pool.,A man wearing goggles is swimming in a pool.,contradiction,plural|from-single,a man wearing only goggles is swimming in a pool.,0.6580370064762462,0
1429,1429,"five women wearing all white and eating, walk next to three men holding a briefcase.","A woman wearing all white and eating, walks next to a man holding a briefcase.",twenty two men in black hugs two hundred women in black.,a man in black hugs a woman in black.,neutral,plural|from-single,a black man in irish hands joins one woman in a white coat.,1.6900621985565841e-07,0
7186,7186,Woman in white in foreground and many men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,four dogs jumps up to catch an orange and blue tennis ball.,A dog jumps up to catch an orange and blue tennis ball.,entailment,plural|from-single,two dogs jump up to catch a orange and blue tennis ball.,0.4366835442847812,0
3303,3303,"four women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",two men surfing in the ocean on a sunny day.,a man surfing in the ocean on a sunny day.,contradiction,plural|from-single,a man surfing in the ocean on a sunny day.,1.0,1
7565,7565,A man with a bright green shirt is talking to a woman in a pink shirt.,three men with a bright green shirt are talking to a woman in a pink shirt.,A man reading a book on the sidewalk with just his blue pajamas and headphones while sitting on a chair.,three men reading a book on the sidewalk with just his blue pajamas and headphones while sitting on a chair.,contradiction,plural|to-three|indefinite,three men reading a book on the sidewalk while wearing only his saxophone and blue sneakers.,0.3816856719199036,0
6120,6120,A dog in the water carries a stick in his mouth.,two dogs in the water carries a stick in his mouth.,A man in a plaza stares at a woman with see through pants.,two men in a plaza stares at a woman with see through pants.,neutral,plural|to-two|indefinite,two men in a plaza see a woman with stare tubes and stare at each other.,0.3237722713145643,0
7152,7152,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures."," men and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A kid in an orange sweater is standing on a bed., kids in an orange sweater are standing on a bed.,neutral,plural|to-various|indefinite,kid in an orange sweater is standing on a bed.,0.5253819788848316,0
