,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
3493,3493,a man in a bright orange shirt and black jeans holds an ice cream cone out of a small vending cool while other people stand around.,a man in a bright orange shirt and black jeans holds an ice cream cone out of a small vending cooler while other people stand around.,"A choir consisting of children dressed in blue, young members in red, and older in black, is performing on a 2nd floor overlook.","A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",neutral,comparative|from-comp,"a choir in blue group consisting of child # 8, third class, and lead actress are performing on a backdrop of treated green trees.",0.0001238490128281,0
9224,9224,A man and his father watch a younger man hold up a barbie doll.,A man and his father watch a young man hold up a barbie doll.,An older martial arts student demonstrating to younger students.,An older martial arts student demonstrating to young students.,neutral,comparative|to-comp,an elementary school youth demonstrating to his martial arts students.,2.208959113415786e-07,0
4114,4114,Picture viewers wonder whether the little girl in pantaloons has bigger feet or a bigger smile.,Picture viewers wonder whether the little girl in pantaloons has big feet or a bigger smile.,A brown dog is lowering his head near a smaller white dog outdoors.,A brown dog is lowering his head near a small white dog outdoors.,contradiction,comparative|to-comp,a brown dog is lowering his head above a large white dog outdoors.,0.5923033072023249,0
6140,6140,A human with short hair is among a group of young humans.,A human with short hair is among a group of younger humans.,"Two people walking down the street, the young helping the older.","Two people walking down the street, the younger helping the older.",entailment,comparative|from-comp,"two people walking down the side, the older helping the younger.",0.4798782066690663,0
6907,6907,A picture of a live duck on profile with head turned toward the camera in front of three younger children walking in the camera's direction.,A picture of a live duck on profile with head turned toward the camera in front of three young children walking in the camera's direction.,A boy is walking home from school with his younger sister.,A boy is walking home from school with his young sister.,neutral,comparative|to-comp,a boy is walking home from school with his older sister.,0.8070557274927981,0
4715,4715,"Person jumping off diving board, while younger child is walking onto a small diving board.","Person jumping off diving board, while younger child is walking onto a smaller diving board.","An older and a young woman, both with tennis attire and rackets, smile side to side for the camera.","An older and a younger woman, both with tennis attire and rackets, smile side to side for the camera.",neutral,comparative|from-comp,"a older male and an older woman, both dressed in shorts and tennis shoes, pose with respect for the other side.",1.258220555845936e-07,0
9827,9827,Two men in a small boat are working on a large ship.,Two men in a small boat are working on a larger ship.,"Two dogs are standing in snow, the smaller one barking at the large one.","Two dogs are standing in snow, the smaller one barking at the larger one.",neutral,comparative|from-comp,"two dogs are standing, one in the snow appears to be chewing smaller, and the other in the smaller green.",0.161955701285324,0
3676,3676,two young women stand by a sink,two younger women stand by a sink,A young looking man is sitting at the table with two older men.,A younger looking man is sitting at the table with two older men.,contradiction,comparative|from-comp,a older looking man is sitting at the two other men table.,0.4466739929078174,0
1984,1984,Older women and young girl are opening presents up.,Older women and younger girl are opening presents up.,Two elderly women are walking past a young woman on a public path.,Two elderly women are walking past a younger woman on a public path.,contradiction,comparative|from-comp,two elderly women are walking past a young woman on a walkway.,0.5833510584342544,0
3952,3952,A young man where black clothes is doing a trick on his skateboard off of steps.,A younger man where black clothes is doing a trick on his skateboard off of steps.,The baby is young,The baby is younger than ten years old.,entailment,comparative|from-comp,the baby is young,0.0002601300475114,0
132,132,A girl is up higher than the ground balancing.,A girl is up high,The dog is being chased by a larger dog.,The dog is being chased by a large dog.,neutral,comparative|to-comp,the dog is being chased,0.4493289641172215,0
9346,9346,A woman is walking two small pug dogs.,A woman is walking two smaller pug dogs.,a young man working,a younger man working,neutral,comparative|from-comp,a young man working,5.94603557501361e-07,0
103,103,A younger woman and an older woman riding public transportation.,A young woman and an older woman riding public transportation.,A small black dog is running along side a bigger tri-colored dog that is carrying a rope toy in its mouth.,A small black dog is running along side a big tri-colored dog that is carrying a rope toy in its mouth.,neutral,comparative|to-comp,a small dog is running along a black tug-of-war toy that is carrying a bigger dog on its tail.,0.2636758063390917,0
384,384,A younger swimmer is highlighted from the team.,A young swimmer is highlighted from the team.,The building will be a skyscraper taller than anything else.,The building will be a skyscraper tall,neutral,comparative|to-comp,the building is a skyscraper that will land higher than any man.,1.7033186037639266e-07,0
3417,3417,"There is a group of children formed in a circle and talking, while one young child, in a green shirt, stands singled out and observing.","There is a group of children formed in a circle and talking, while one younger child, in a green shirt, stands singled out and observing.",The young man is sitting in a chair.,The younger man is sitting in a chair.,neutral,comparative|from-comp,the young man is sitting in a chair.,0.7071067811865475,0
3798,3798,"There is a group of children formed in a circle and talking, while one young child, in a green shirt, stands singled out and observing.","There is a group of children formed in a circle and talking, while one younger child, in a green shirt, stands singled out and observing.",A young gentleman with curly hair and glasses is sampling some good he is cooking on his stove.,A younger gentleman with curly hair and glasses is sampling some good he is cooking on his stove.,entailment,comparative|from-comp,a well-dressed young man with blond hair is helping him glasses and some cooking croutons.,1.0266325485253043e-10,0
8539,8539,Man with gray hair telling a story to a group of younger people on a bench.,Man with gray hair telling a story to a group of young people on a bench.,A guy wants to get on top of a rock in order to get a better view.,A guy wants to get on top of a rock in order to get a good view.,neutral,comparative|to-comp,a guy wants to get on top of a rock so many people look on.,0.548107481271486,0
8805,8805,The man wearing orange is dropping tools from the upper scaffold to the man in the red vest on the low scaffold.,The man wearing orange is dropping tools from the upper scaffold to the man in the red vest on the lower scaffold.,A guy wants to get on top of a rock in order to get a good view.,A guy wants to get on top of a rock in order to get a better view.,neutral,comparative|from-comp,a guy wants to get on top of a rock so that more people can take a picture.,0.5241705759002533,0
7375,7375,a man writes a letter to a younger man,a man writes a letter to a young man,A lady wants to get a better view of the brass section of the band.,A lady wants to get a good view of the brass section of the band.,neutral,comparative|to-comp,a lady is getting ready to the brass line of a good show.,1.6580932597529678e-07,0
