,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
788,788,A group of people with unhappy faces are gathered together most likely waiting for someone or listening to someone speak.,A group of people with unhappy faces are gathered together most unlikely waiting for someone or listening to someone speak.,"A man laying on a seat face down, possibly sleeping.","A man laying on a seat face down, impossibly sleeping.",neutral,opposite|from-possibly,"a man laying on a seat face down, possibly sleeping.",0.7825422900366437,0
3503,3503,a man holds a wooden dowel smoking a cigarette in a messy kitchen possibly drunk.,a man holds a wooden dowel smoking a cigarette in a messy kitchen impossibly drunk.,The man makes sure everything is safely secured as he tows his son's car to the repair shop,The man makes unsure everything is safely secured as he tows his son's car to the repair shop,neutral,opposite|from-sure,the man keeps his car clean as he has tofigure the intricate <unk> of secured schools,1.1469094282001129e-07,0
6082,6082,"A busy intersection is outside a corner pub known as ""The Temple Bar.""","A busy intersection is outside a corner pub unknown as ""The Temple Bar.""",Performers sit on stage indoors to discuss who would likely win the award for best looking performer this year.,Performers sit on stage indoors to discuss who would unlikely win the award for best looking performer this year.,contradiction,opposite|from-likely,stage performers sit on stage anticipating future performance for anyone to look but representative of <unk> sheWhite who appears to be sitting outdoors.,0.11856660123276,0
5849,5849,The person looks cautiously into traffic to be sure no car is coming and then crosses the street,The person looks cautiously into traffic to be unsure no car is coming and then crosses the street,Two guys and 2 girls out running possibly in a marathon in a park.,Two guys and 2 girls out running impossibly in a marathon in a park.,neutral,opposite|from-possibly,2 guys and one female out doing sprinting in a parka.,1.5020004628709773e-07,0
8958,8958,"After a small fire, three fireman check to make sure the building was completely evacuated.","After a small fire, three fireman check to make unsure the building was completely evacuated.","The man carefully hung the painting on the wall, making sure the painting was eye-level and straight.","The man carefully hung the painting on the wall, making unsure the painting was eye-level and straight.",contradiction,opposite|from-sure,"the man carefully painting the portrait, made the handrakeral so small on the wall, was unseen.",0.0001825639522718,0
9354,9354,"When Jack was with his mother building a snowman, their dog decided to roll in the snow and mess up their creation.","When Jack was with his mother building a snowman, their dog undecided to roll in the snow and mess up their creation.",The men are on a competitive sports team.,The men are on a uncompetitive sports team.,neutral,opposite|from-competitive,the men are on a competitive sports team.,0.5946035575013605,0
2350,2350,The woman may possibly get a bite to eat here.,The woman may impossibly get a bite to eat here.,A highly competitive bike race for lots of money is going on.,A highly uncompetitive bike race for lots of money is going on.,neutral,opposite|from-competitive,a competitive high-stakes motorcycle race with lots of money going on.,0.0002050457223624,0
2970,2970,The man is comfortable in the chair.,The man is uncomfortable in the chair.,A man and a woman are practicing competitive dancing.,A man and a woman are practicing uncompetitive dancing.,neutral,opposite|from-competitive,a man and a woman are practicing fighting jealousy.,0.7259795291154771,0
8274,8274,This young man is attempting the most difficult skateboarding trick known to man.,This young man is attempting the most difficult skateboarding trick unknown to man.,A security officer makes sure to smile.,A security officer makes unsure to smile.,entailment,opposite|from-sure,a security officer makes sure to smile.,0.488923022434901,0
2739,2739,A man is aware of people playing instruments.,A man is unaware of people playing instruments.,The lady decided to stay at her house all day because of the rain.,The lady undecided to stay at her house all day because of the rain.,contradiction,opposite|from-decided,the lady forgot about going home to her house all in the day.,0.0001790672737761,0
6232,6232,A certain type of hat is visible more than once in the picture.,A uncertain type of hat is visible more than once in the picture.,The grown lady was trying to get comfortable,The grown lady was trying to get uncomfortable,neutral,opposite|from-comfortable,the grown lady was trying to settle,0.7013967267997694,0
1210,1210,A man on a bicycle is about to land an impressive trick.,A man on a bicycle is about to land an unimpressive trick.,A clown is outdoors most likely scaring children,A clown is outdoors most unlikely scaring children,neutral,opposite|from-likely,a clown is indoors neither anyone cares about dogs or blind,0.0001659038701421,0
3979,3979,"Two women on the street presenting to a crowd, possibly trying to start a riot.","Two women on the street presenting to a crowd, impossibly trying to start a riot.",The lady walked behind the wheelchair to make sure her mother didn't crash into anyone.,The lady walked behind the wheelchair to make unsure her mother didn't crash into anyone.,neutral,opposite|from-sure,the lady walked away from the wheelchair to direct everybody trapped in her wheelchair.,0.0001904774674355,0
3773,3773,Bluejeans are sturdy and comfortable when climbing poles.,Bluejeans are sturdy and uncomfortable when climbing poles.,An older woman possibly yawning while members of a Salvation Army band walk past.,An older woman impossibly yawning while members of a Salvation Army band walk past.,contradiction,opposite|from-possibly,an older woman who seems to be crying during a march miles away.,0.0001360617047474,0
7890,7890,The girl is trying to known down pins.,The girl is trying to unknown down pins.,A young man is participating in a competitive gun shooting event.,A young man is participating in a uncompetitive gun shooting event.,contradiction,opposite|from-competitive,a male is competing in a serious shooting gun game.,1.6807407519804245e-07,0
576,576,The man is not aware of the camera.,The man is not unaware of the camera.,A highly competitive bike race for lots of money is going on.,A highly uncompetitive bike race for lots of money is going on.,neutral,opposite|from-competitive,a very competitive bike race going on even with few spectators.,1.721223980181976e-07,0
