pair_ID	sentence_A	sentence_B	entailment_label
46	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	NEUTRAL
47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	NEUTRAL
48	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	NEUTRAL
49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	NEUTRAL
50	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	NEUTRAL
51	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	NEUTRAL
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	NEUTRAL
54	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	NEUTRAL
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	NEUTRAL
57	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	NEUTRAL
58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	NEUTRAL
59	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	NEUTRAL
60	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	NEUTRAL
61	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	NEUTRAL
62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	NEUTRAL
63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	ENTAILMENT
64	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	CONTRADICTION
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	NEUTRAL
66	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	ENTAILMENT
67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION
68	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	NEUTRAL
69	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION
70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL
71	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL
72	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	NEUTRAL
73	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	NEUTRAL
76	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	NEUTRAL
77	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	ENTAILMENT
78	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	NEUTRAL
79	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL
80	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume	NEUTRAL
81	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	NEUTRAL
82	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	NEUTRAL
83	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL
84	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	NEUTRAL
85	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	NEUTRAL
86	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	NEUTRAL
87	A lone biker is jumping in the air	A biker is jumping in the air, alone	ENTAILMENT
88	There is no biker jumping in the air	A lone biker is jumping in the air	CONTRADICTION
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	ENTAILMENT
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION
91	A man is jumping into an empty pool	The man's jumper is in the empty pool	NEUTRAL
92	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	NEUTRAL
93	A lone biker is jumping in the air	A man is jumping into a full pool	NEUTRAL
94	The man's jumper is in the empty pool	A lone biker is jumping in the air	NEUTRAL
95	A man is jumping into an empty pool	A biker is jumping in the air, alone	NEUTRAL
96	A man is jumping into an empty pool	There is no biker jumping in the air	NEUTRAL
97	A lone biker is jumping in the air	A man is jumping into an empty pool	NEUTRAL
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT
99	Four children are doing backbends in the gym	Four children are doing backbends in the park	NEUTRAL
100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	ENTAILMENT
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	NEUTRAL
102	Four girls are doing backbends and playing in the garden	Four children are doing backbends in the park	NEUTRAL
103	Four girls are doing backbends and playing indoors	Four children are doing backbends in the park	NEUTRAL
104	Four kids are doing backbends in the park	Four girls are doing backbends and playing outdoors	ENTAILMENT
105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	NEUTRAL
106	Four girls are doing backbends and playing outdoors	Four children are doing backbends in the park	NEUTRAL
107	A man who is playing is running with the ball in his hands	A player is running with the ball	ENTAILMENT
108	A player is throwing the ball	A player is running with the ball	NEUTRAL
109	Two groups of people are playing football	Two teams are competing in a football match	ENTAILMENT
110	Two teams are competing in a football match	Two teams are competing in a baseball game	NEUTRAL
111	Two teams are competing in a football match	Football is being played by two competing teams	ENTAILMENT
112	Two groups of people are playing football	A player is running with the ball	NEUTRAL
113	Two teams are competing in a baseball game	A player is running with the ball	NEUTRAL
114	A player is running with the ball	Football is being played by two competing teams	NEUTRAL
115	Two teams are competing in a football match	A man who is playing is running with the ball in his hands	NEUTRAL
116	A player is throwing the ball	Two teams are competing in a football match	NEUTRAL
117	A player is running with the ball	Two teams are competing in a football match	NEUTRAL
118	Five children are standing in front of a wooden hut	Five children are standing in front of a hut made of wood	ENTAILMENT
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	NEUTRAL
120	Five wooden stands are in front of each child's hut	Five children are standing in front of a wooden hut	NEUTRAL
121	Five kids are standing close together and one kid has a gun	Five kids are standing close together and one kid has a weapon	ENTAILMENT
122	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	CONTRADICTION
123	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a weapon	NEUTRAL
124	Five kids are standing close together and none of the kids has a gun	Five children are standing in front of a wooden hut	NEUTRAL
125	Five children are standing in front of a hut made of wood	Five kids are standing close together and one kid has a gun	NEUTRAL
126	Five children are standing in a wooden hut	Five kids are standing close together and one kid has a gun	NEUTRAL
127	Five wooden stands are in front of each child's hut	Five kids are standing close together and one kid has a gun	NEUTRAL
128	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a gun	NEUTRAL
129	An old man is sitting in a field	A man is sitting in a field	ENTAILMENT
130	A man is sitting in a field	A man is running in a field	NEUTRAL
131	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat	NEUTRAL
132	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	CONTRADICTION
133	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass	NEUTRAL
134	A person is sitting in a field and is wearing a hat	A man is sitting in a field	NEUTRAL
135	A man is sitting in a field	There is no person wearing a hat and sitting on the grass	NEUTRAL
136	A person is sitting and wearing a grass hat	A man is sitting in a field	NEUTRAL
137	An old man is sitting in a field	A person is wearing a hat and is sitting on the grass	NEUTRAL
138	A person is wearing a hat and is sitting on the grass	A man is running in a field	NEUTRAL
139	A man is sitting in a field	A person is wearing a hat and is sitting on the grass	NEUTRAL
140	The current is being ridden by a group of friends in a raft	A group of friends are riding the current in a raft	ENTAILMENT
141	A group of friends are riding the current in a raft	A group is not riding the current in a raft	CONTRADICTION
142	This group of people is practicing water safety and wearing preservers	Preservers are being worn by a group of people who are practicing water safety	ENTAILMENT
143	Nobody is practicing water safety and wearing preservers	This group of people is practicing water safety and wearing preservers	CONTRADICTION
144	A group of friends are riding the current in a raft	Preservers are being worn by a group of people who are practicing water safety	NEUTRAL
145	Nobody is practicing water safety and wearing preservers	A group of friends are riding the current in a raft	NEUTRAL
146	The current is being ridden by a group of friends in a raft	This group of people is practicing water safety and wearing preservers	NEUTRAL
147	A group is not riding the current in a raft	This group of people is practicing water safety and wearing preservers	NEUTRAL
148	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers	NEUTRAL
149	A deer is jumping over a fence	A deer is jumping over the enclosure	ENTAILMENT
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION
151	A wild deer is jumping a fence	A deer is jumping a fence	ENTAILMENT
152	A deer is jumping a fence	There is no deer jumping fences	CONTRADICTION
153	A wild deer is jumping a fence	A deer is jumping over a fence	ENTAILMENT
154	There is no deer jumping fences	A deer is jumping over a fence	CONTRADICTION
155	A deer is jumping over the enclosure	A deer is jumping a fence	NEUTRAL
156	A deer is jumping a fence	A deer isn't jumping over the fence	CONTRADICTION
157	A deer is jumping over a fence	A deer is jumping a fence	ENTAILMENT
158	People are walking outside a building that has many murals on it	People are walking outside the building that has several murals on it	ENTAILMENT
159	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	NEUTRAL
160	Several people are in front of a building which is covered by colors	Several people are in front of a colorful building	ENTAILMENT
161	Several people are in front of a colorful building	Nobody is in front of the colorful building	CONTRADICTION
162	Several people are in front of a building which is covered by colors	People are walking outside a building that has many murals on it	ENTAILMENT
163	People are walking outside a building that has many murals on it	Nobody is in front of the colorful building	NEUTRAL
164	People are walking outside the building that has several murals on it	Several people are in front of a colorful building	ENTAILMENT
165	Several people are in front of a colorful building	People are walking inside a building that has many murals on it	NEUTRAL
166	People are walking outside a building that has many murals on it	Several people are in front of a colorful building	NEUTRAL
167	A boy is hitting a baseball	A child is hitting a baseball	ENTAILMENT
168	A child is hitting a baseball	A child is missing a baseball	CONTRADICTION
169	A family is watching a little boy who is hitting a baseball	A family is watching a boy who is hitting a baseball	ENTAILMENT
170	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	NEUTRAL
171	A little boy is watching a family that is hitting a baseball	A family is watching a little boy who is hitting a baseball	NEUTRAL
172	A family is watching a boy who is hitting a baseball	A child is hitting a baseball	ENTAILMENT
173	A child is hitting a baseball	A family is watching a little boy who is missing a baseball	NEUTRAL
174	A little boy is watching a family that is hitting a baseball	A child is hitting a baseball	NEUTRAL
175	A family is watching a little boy who is hitting a baseball	A boy is hitting a baseball	ENTAILMENT
176	A child is missing a baseball	A family is watching a little boy who is hitting a baseball	NEUTRAL
177	A family is watching a little boy who is hitting a baseball	A child is hitting a baseball	ENTAILMENT
178	A large group of Asian people is eating at a restaurant	A group of people from Asia is eating at a restaurant	ENTAILMENT
179	A large group of Asian people is eating at a restaurant	A small group of people is waiting to eat in a restaurant	NEUTRAL
180	A large group of Asian people is eating at a restaurant	A group of people in a large Asian restaurant is eating	NEUTRAL
181	Various people are eating at red tables in a crowded restaurant with purple lights	Various customers are eating in a crowded restaurant with purple lights	ENTAILMENT
182	Few people are eating at red tables in a restaurant without lights	Various people are eating at red tables in a crowded restaurant with purple lights	NEUTRAL
183	A purple crowd of people is eating on various red lit restaurant tables	Various people are eating at red tables in a crowded restaurant with purple lights	NEUTRAL
184	A large group of Asian people is eating at a restaurant	Various customers are eating in a crowded restaurant with purple lights	NEUTRAL
185	Few people are eating at red tables in a restaurant without lights	A large group of Asian people is eating at a restaurant	NEUTRAL
186	A purple crowd of people is eating on various red lit restaurant tables	A large group of Asian people is eating at a restaurant	NEUTRAL
187	A group of people from Asia is eating at a restaurant	Various people are eating at red tables in a crowded restaurant with purple lights	NEUTRAL
188	Various people are eating at red tables in a crowded restaurant with purple lights	A small group of people is waiting to eat in a restaurant	NEUTRAL
189	A group of people in a large Asian restaurant is eating	Various people are eating at red tables in a crowded restaurant with purple lights	NEUTRAL
190	A large group of Asian people is eating at a restaurant	Various people are eating at red tables in a crowded restaurant with purple lights	NEUTRAL
191	A motorcycle rider is standing up on the seat of a white motorcycle	A motorcycle is riding standing up on the seat of the vehicle	ENTAILMENT
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION
193	Someone is on a black and white motorcycle and is standing on the seat	A rider is on a black and white bike and is standing on the seat	ENTAILMENT
194	Nobody is on a motorcycle and is standing on the seat	Someone is on a black and white motorcycle and is standing on the seat	CONTRADICTION
195	A rider is on a black and white bike and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	NEUTRAL
196	Nobody is on a motorcycle and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	CONTRADICTION
197	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle is riding standing up on the seat of the vehicle	NEUTRAL
198	Someone is on a black and white motorcycle and is standing on the seat	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION
199	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	NEUTRAL
200	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT
201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	CONTRADICTION
202	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist with a red helmet is riding a blue motorcycle down the road	ENTAILMENT
203	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	NEUTRAL
204	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT
205	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	A motorcyclist is riding a motorbike along a roadway	NEUTRAL
206	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike dangerously along a roadway	NEUTRAL
207	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist with a red helmet is riding a blue motorcycle down the road	CONTRADICTION
208	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT
209	A dog is catching a stick in the air and another is watching	A dog is leaping high in the air and another is watching	ENTAILMENT
210	There is no dog leaping in the air	A dog is leaping high in the air and another is watching	CONTRADICTION
211	Two dogs are playing by a tree	Two dogs are playing by a plant	ENTAILMENT
212	Two dogs are playing by a tree	Two dogs are sleeping by a tree	NEUTRAL
213	A dog is leaping high in the air and another is watching	Two dogs are playing by a plant	NEUTRAL
214	A dog is leaping high in the air and another is watching	Two dogs are sleeping by a tree	NEUTRAL
215	Two dogs are playing by a tree	A dog is catching a stick in the air and another is watching	NEUTRAL
216	Two dogs are playing by a tree	There is no dog leaping in the air	NEUTRAL
217	Two dogs are playing by a tree	A dog is leaping high in the air and another is watching	NEUTRAL
218	A girl in white is dancing	A girl is wearing white clothes and is dancing	ENTAILMENT
219	There is no girl in white dancing	A girl in white is dancing	CONTRADICTION
220	The dancer is dancing in front of the sound equipment	The blond girl is dancing in front of the sound equipment	NEUTRAL
221	The blond girl is dancing behind the sound equipment	The blond girl is dancing in front of the sound equipment	NEUTRAL
222	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	ENTAILMENT
223	A girl in white is dancing	The dancer is dancing in front of the sound equipment	NEUTRAL
224	A girl in white is dancing	The blond girl is dancing behind the sound equipment	NEUTRAL
225	The equipment in front of the blond dancing girl is sound	A girl in white is dancing	NEUTRAL
226	A girl is wearing white clothes and is dancing	The blond girl is dancing in front of the sound equipment	NEUTRAL
227	The blond girl is dancing in front of the sound equipment	There is no girl in white dancing	NEUTRAL
228	A girl in white is dancing	The blond girl is dancing in front of the sound equipment	NEUTRAL
229	The children of a family are patiently playing and waiting	The children of a family are playing and waiting	ENTAILMENT
230	The children of a family are playing and waiting	There are no children playing and waiting	CONTRADICTION
231	Three Asian kids are dancing and a serious man is looking	Three Asian kids are dancing and a man is looking	ENTAILMENT
232	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	CONTRADICTION
233	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	NEUTRAL
234	The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking	NEUTRAL
235	The children of a family are playing and waiting	Three Asian kids are dancing and there is no man looking	NEUTRAL
236	The children of a family are playing and waiting	An Asian man is dancing and three kids are looking	NEUTRAL
237	The children of a family are patiently playing and waiting	Three Asian kids are dancing and a man is looking	NEUTRAL
238	There are no children playing and waiting	Three Asian kids are dancing and a man is looking	NEUTRAL
239	Three Asian kids are dancing and a man is looking	The children of a family are playing and waiting	NEUTRAL
240	A woman is wearing an Egyptian hat on her head	A woman is wearing an Egyptian headdress	ENTAILMENT
241	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	NEUTRAL
242	A woman is wearing an Egyptian headdress	An Egyptian is wearing a woman's headdress	NEUTRAL
243	The woman is wearing glasses and a black headdress	The woman with a black hat is wearing sunglasses	NEUTRAL
244	The woman is not wearing glasses or a headdress	The woman is wearing glasses and a black headdress	CONTRADICTION
245	The black woman is wearing glasses over the headdress	The woman is wearing glasses and a black headdress	NEUTRAL
246	A woman is wearing an Egyptian headdress	The woman with a black hat is wearing sunglasses	NEUTRAL
247	The woman is not wearing glasses or a headdress	A woman is wearing an Egyptian headdress	CONTRADICTION
248	The black woman is wearing glasses over the headdress	A woman is wearing an Egyptian headdress	NEUTRAL
249	A woman is wearing an Egyptian hat on her head	The woman is wearing glasses and a black headdress	NEUTRAL
250	A woman is wearing an Indian headdress	The woman is wearing glasses and a black headdress	NEUTRAL
251	The woman is wearing glasses and a black headdress	An Egyptian is wearing a woman's headdress	NEUTRAL
252	The woman is wearing glasses and a black headdress	A woman is wearing an Egyptian headdress	NEUTRAL
253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	ENTAILMENT
254	A hiker is on top of the mountain and is dancing	There is no hiker dancing on top of the mountain	CONTRADICTION
255	A man is on a rock high above some trees and is standing in an uncomfortable position	A man is on a rock high above some trees and is standing in a strange position	ENTAILMENT
256	There is no man on a rock high above some trees standing in a strange position	A man is on a rock high above some trees and is standing in a strange position	CONTRADICTION
257	A hiker is on top of the mountain and is dancing	A man is on a rock high above some trees and is standing in an uncomfortable position	NEUTRAL
258	A hiker is on top of the mountain and is dancing	There is no man on a rock high above some trees standing in a strange position	NEUTRAL
259	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance	NEUTRAL
260	There is no hiker dancing on top of the mountain	A man is on a rock high above some trees and is standing in a strange position	NEUTRAL
261	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is dancing	NEUTRAL
262	A cowgirl is riding a brown horse and is cornering a barrel	A cowgirl is riding a horse and corners a barrel	ENTAILMENT
263	A cowboy is riding a horse and cornering a barrel	A cowgirl is riding a horse and corners a barrel	NEUTRAL
264	A cowgirl is riding a barrel near a horse in the corner	A cowgirl is riding a horse and corners a barrel	NEUTRAL
265	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	ENTAILMENT
266	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo	CONTRADICTION
267	The brown horse is very near a red barrel at the rodeo	A cowgirl is riding a horse and corners a barrel	NEUTRAL
268	The brown horse is far from a red barrel at the rodeo	A cowgirl is riding a horse and corners a barrel	NEUTRAL
269	A cowgirl is riding a brown horse and is cornering a barrel	The brown horse is near a red barrel at the rodeo	NEUTRAL
270	A cowboy is riding a horse and cornering a barrel	The brown horse is near a red barrel at the rodeo	NEUTRAL
271	The brown horse is near a red barrel at the rodeo	A cowgirl is riding a barrel near a horse in the corner	NEUTRAL
272	A cowgirl is riding a horse and corners a barrel	The brown horse is near a red barrel at the rodeo	NEUTRAL
273	A boy is standing in the cold water	A boy is standing in the water	ENTAILMENT
274	A boy is standing outside the water	A boy is standing in the water	NEUTRAL
275	The kid is swimming through the blue ocean	The boy is wading through the blue ocean	NEUTRAL
276	The boy is sitting near the blue ocean	The boy is wading through the blue ocean	CONTRADICTION
277	A boy is standing in the water	The kid is swimming through the blue ocean	NEUTRAL
278	A boy is standing in the water	The boy is sitting near the blue ocean	NEUTRAL
279	The boy is wading through the blue ocean	A boy is standing in the cold water	NEUTRAL
280	A boy is standing outside the water	The boy is wading through the blue ocean	NEUTRAL
281	A boy is standing in the water	The boy is wading through the blue ocean	NEUTRAL
282	A skilled man is playing a guitar on stage	A man is playing a guitar on stage	ENTAILMENT
283	A man is playing a guitar on stage	There is no man playing a guitar on stage	CONTRADICTION
284	A person has blonde and flyaway hair and is playing a guitar	A guitarist has blonde and flyaway hair	ENTAILMENT
285	A bald person is playing a guitar	A person has blonde and flyaway hair and is playing a guitar	NEUTRAL
286	A man is playing a guitar on stage	A guitarist has blonde and flyaway hair	NEUTRAL
287	A man is playing a guitar on stage	A bald person is playing a guitar	NEUTRAL
288	A skilled man is playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	NEUTRAL
289	There is no man playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	NEUTRAL
290	A man is playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	NEUTRAL
291	Several children are sitting down and have their knees raised	Several children are lying down and are raising their knees	NEUTRAL
292	Several children are sitting down and have their knees raised	Several children are standing up	NEUTRAL
293	Two young girls are sitting on the ground	Two girls are sitting on the ground	ENTAILMENT
294	Two girls are lying on the ground	Two girls are sitting on the ground	NEUTRAL
295	Two young girls are sitting on the ground	Several children are sitting down and have their knees raised	NEUTRAL
296	Two girls are lying on the ground	Several children are sitting down and have their knees raised	NEUTRAL
297	Several children are lying down and are raising their knees	Two girls are sitting on the ground	NEUTRAL
298	Several children are standing up	Two girls are sitting on the ground	NEUTRAL
299	Several children are sitting down and have their knees raised	Two girls are sitting on the ground	NEUTRAL
300	A nude lady is walking in front of many people in body paint	A nude lady is walking in front of a crowd in body paint	ENTAILMENT
301	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 	CONTRADICTION
302	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	NEUTRAL
303	A young, topless woman is covered in paint	A topless girl is covered in paint	ENTAILMENT
304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	NEUTRAL
305	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	ENTAILMENT
306	An old, topless woman is covered in paint	A nude lady is walking in front of a crowd in body paint	NEUTRAL
307	A young, topless woman is covered in paint	A nude lady is walking in front of many people in body paint	NEUTRAL
308	There is no lady walking in body paint in front of a crowd 	A young, topless woman is covered in paint	NEUTRAL
309	A nude crowd in body paint is walking in front of a lady 	A young, topless woman is covered in paint	NEUTRAL
310	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint	NEUTRAL
311	A group of people is near the ocean	A crowd of people is near the water	ENTAILMENT
312	A crowd of people is near the water	A crowd of people is far from the water	CONTRADICTION
