a,b
the younger gentlemen wait,the young gentlemen wait
"A man, in a plaid shirt, and a younger boy, in a black jacket, working on something.","A man, in a plaid shirt, and a young boy, in a black jacket, working on something."
The marketplace is no longer selling products.,The marketplace is no long selling products.
The man is afraid to light his batons until he gets better at juggling.,The man is afraid to light his batons until he gets good at juggling.
"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.","A giant inflatable ball,which is  tall"
"a man, a woman, and a younger girl are moving a device with a conveyor belt","a man, a woman, and a young girl are moving a device with a conveyor belt"
An older woman shows a younger woman in blue gloves and a blue shirt something to observe in a scientific research tissue culture hood.,An older woman shows a young woman in blue gloves and a blue shirt something to observe in a scientific research tissue culture hood.
The biker is trying to make it around the trail faster then his previous time.,The biker is trying to make it around the trail fast then his previous time.
An older man having his beard shaved by a younger man in front of a crowd of people in a lecture hall.,An older man having his beard shaved by a young man in front of a crowd of people in a lecture hall.
"In front of a seated crowd, a man with a gray beard receives a beard trim from a younger man in a black shirt.","In front of a seated crowd, a man with a gray beard receives a beard trim from a young man in a black shirt."
"In front of a standing crowd, a man receives a beard trim from a younger man.","In front of a standing crowd, a man receives a beard trim from a young man."
"In front of a standing crowd, a young man with a black beard receives a beard trim from a younger man in a white shirt.","In front of a standing crowd, a young man with a black beard receives a beard trim from a young man in a white shirt."
"In front of a crowd, a man with a beard receives a shaving from a younger man.","In front of a crowd, a man with a beard receives a shaving from a young man."
"In front of a inspired crowd, a middle-aged man with a gray beard receives a beard trim from a younger man in a black shirt.","In front of a inspired crowd, a middle-aged man with a gray beard receives a beard trim from a young man in a black shirt."
A boy in a blue boat tied to a larger boat dumps out a bucket of water.,A boy in a blue boat tied to a large boat dumps out a bucket of water.
An older boy teachers a younger boy how to build with legos.,An older boy teachers a young boy how to build with legos.
Older women and younger girl are opening presents up.,Older women and young girl are opening presents up.
It is the younger girl's birthday.,It is the young girl's birthday.
The older woman and younger girl are wrapping gifts.,The older woman and young girl are wrapping gifts.
"Wow, this cowboy is staying on that bucking bronco longer than any of the other contestants at the rodeo!","Wow, this cowboy is staying on that bucking bronco long"
A little dog jumps off of the bench where a larger dog is eating.,A little dog jumps off of the bench where a large dog is eating.
The black woman is bigger than the Asian woman.,The black woman is big
A young blond girl holds a smaller blond boy in her lap outdoors.,A young blond girl holds a small blond boy in her lap outdoors.
"Two young boys playing, with the younger boy sitting and smiling.","Two young boys playing, with the young boy sitting and smiling."
The ball pit is larger than the baby.,The ball pit is large
Two boys walk out on a military monument over grassy green fields to get a better view.,Two boys walk out on a military monument over grassy green fields to get a good view.
The larger people are listening to a weight loss story,The large people are listening to a weight loss story
A souvenir shop with bars on its windows is next to a much larger beige hotel.,A souvenir shop with bars on its windows is next to a much large beige hotel.
One man has a higher score than the other.,One man has a high score
home based worker works harder,home based worker works hard
A big brown dog plays with a smaller gray dog on the grass.,A big brown dog plays with a small gray dog on the grass.
Two older girls hold a younger girl between them indoors.,Two older girls hold a young girl between them indoors.
A boy climbs atop his dad's shoulders to get a better view.,A boy climbs atop his dad's shoulders to get a good view.
An old man is examining his camera while a younger man is singing nearby.,An old man is examining his camera while a young man is singing nearby.
"In the sauna, two younger men relax in the heat and steam.","In the sauna, two young men relax in the heat and steam."
The woman can't pull her hair back in a ponytail any longer because she donated it to cancer victims last week.,The woman can't pull her hair back in a ponytail any long because she donated it to cancer victims last week.
a small black and white puppy running along a gravel path next to a larger dog in the background.,a small black and white puppy running along a gravel path next to a large dog in the background.
A small dog is trying to keep up with a larger dog.,A small dog is trying to keep up with a large dog.
One boy pushes a shopping cart with another smaller boy standing up in it.,One boy pushes a shopping cart with another small boy standing up in it.
A group of people are climbing a tower to get a better view.,A group of people are climbing a tower to get a good view.
"A small dog stands next to a larger dog, out in a field.","A small dog stands next to a large dog, out in a field."
The dog and the goat understand the rules of soccer better than the kids,The dog and the goat understand the rules of soccer good
An older girl and a younger girl playing barefoot in a puddle,An older girl and a young girl playing barefoot in a puddle
A big dog bites a smaller dog.,A big dog bites a small dog.
A boy suffered in a car crash and no longer has legs.,A boy suffered in a car crash and no long has legs.
The male dancers taking their bows much lower than the female dancers.,The male dancers taking their bows much low
Two women try to catch up to their friend who is walking faster than them.,Two women try to catch up to their friend who is walking fast
The skier is going higher in the water.,The skier is going high in the water.
"Two boys are in a canoe on a very calm ocean or large lake, while behind them is a larger motor boat with an adult standing on the deck.","Two boys are in a canoe on a very calm ocean or large lake, while behind them is a large motor boat with an adult standing on the deck."
A small African child carries a younger child on his back.,A small African child carries a young child on his back.
A young person is moving to a lower location.,A young person is moving to a low location.
Two elderly people are sitting on a couch by a younger woman in a pink shirt who is holding a baby.,Two elderly people are sitting on a couch by a young woman in a pink shirt who is holding a baby.
A big brown dog sniffs a smaller dog in the gravel beside a body of water.,A big brown dog sniffs a small dog in the gravel beside a body of water.
A big brown dog swims with a smaller dog in a body of water,A big brown dog swims with a small dog in a body of water
A big brown dog plays with a smaller dog next to a body of water,A big brown dog plays with a small dog next to a body of water
The scooter is going faster than the unicycle.,The scooter is going fast
The two of them no longer care for one another.,The two of them no long care for one another.
The sculpture is taller than the man.,The sculpture is tall
The baseball stadium seats are higher than the field.,The baseball stadium seats are high
A small black and white dog is followed by a larger dog in a grassy yard.,A small black and white dog is followed by a large dog in a grassy yard.
Some enthusiast climb a tower for a better look.,Some enthusiast climb a tower for a good look.
Some people climb up the tower for a better view.,Some people climb up the tower for a good view.
Older woman is dressed for colder weather.,Older woman is dressed for cold weather.
The men are best friends trying to settle a bet of who is better at chess.,The men are best friends trying to settle a bet of who is good at chess.
The spots on the giraffe's face are smaller than the ones on its neck.,The spots on the giraffe's face are small
The giraffe has larger spots on it's face than on it's neck.,The giraffe has large spots on it's face than on it's neck.
Food is no longer on the table after the people have eaten it all.,Food is no long on the table after the people have eaten it all.
A boy leaning on a stick is holding the wrist of a smaller boy.,A boy leaning on a stick is holding the wrist of a small boy.
A smaller boy helps support his friend who sprained his ankle on their hike.,A small boy helps support his friend who sprained his ankle on their hike.
A small boy is held by a bigger boy.,A small boy is held by a big boy.
The man wearing orange is dropping tools from the upper scaffold to the man in the red vest on the lower scaffold.,The man wearing orange is dropping tools from the upper scaffold to the man in the red vest on the low scaffold.
The man on the upper scaffold is passing tools to the man on the lower scaffold.,The man on the upper scaffold is passing tools to the man on the low scaffold.
A man wearing orange is dropping tools from upper scaffolding to a man in a red vest on the lower scaffold.,A man wearing orange is dropping tools from upper scaffolding to a man in a red vest on the low scaffold.
A young man on a scaffold is dropping tools to an older man on a lower scaffold.,A young man on a scaffold is dropping tools to an older man on a low scaffold.
"A group of people with a woman in a black dress, an older woman in a beige blouse, a man in a blue collared shirt and another in a red and brown striped shirt, and a younger girl in a black dress are sitting together.","A group of people with a woman in a black dress, an older woman in a beige blouse, a man in a blue collared shirt and another in a red and brown striped shirt, and a young girl in a black dress are sitting together."
The roof panels makes for better acoustics.,The roof panels makes for good acoustics.
a younger man stands next to a newsstand,a young man stands next to a newsstand
A black policeman is smiling at a larger woman,A black policeman is smiling at a large woman
The woman is trying to find a size 1 wedding dress because anything bigger falls off her.,The woman is trying to find a size 1 wedding dress because anything big falls off her.
"A group of white male sailors, senior officers in tan and black shirts, and a lower ranked, black sailor, dressed in the traditional white pants suit with blue tie, walking past a sushi restaurant.","A group of white male sailors, senior officers in tan and black shirts, and a low ranked, black sailor, dressed in the traditional white pants suit with blue tie, walking past a sushi restaurant."
There is a women adjusting her window so she can see better,There is a women adjusting her window so she can see good
A man and wife in blue jackets and another younger man standing were standing by the creek together.,A man and wife in blue jackets and another young man standing were standing by the creek together.
The younger boy is reading the book in school,The young boy is reading the book in school
"Three people stand under a movie marquee, one being an older man appearing to be looking down at a younger woman's legs.","Three people stand under a movie marquee, one being an older man appearing to be looking down at a young woman's legs."
A construction foreman is climbing on top of some scaffolding to get a better look at the work that's been done.,A construction foreman is climbing on top of some scaffolding to get a good look at the work that's been done.
a worker climbs higher,a worker climbs high
A older gentleman working on a road bicycle while talking to a younger gentleman.,A older gentleman working on a road bicycle while talking to a young gentleman.
A man works on a bike while speaking to a younger man.,A man works on a bike while speaking to a young man.
A younger man with a fedora has two empty bottles held up to his mouth.,A young man with a fedora has two empty bottles held up to his mouth.
A younger guy breakdances for money in the train station.,A young guy breakdances for money in the train station.
"Three boys are standing in a row along an upraised wall and rail, each a level higher than the one before.","Three boys are standing in a row along an upraised wall and rail, each a level high"
The chef is getting boxes from the walk in cooler,The chef is getting boxes from the walk in cool
A small girl is blocking a much larger girl in a red and white uniform.,A small girl is blocking a much large girl in a red and white uniform.
The dog's tongue is longer than normal,The dog's tongue is long
younger women play roller hockey,young women play roller hockey
Two guys out on a sandy beach in cooler weather.,Two guys out on a sandy beach in cool weather.
A big brown dog chases a smaller white dog around in the grass.,A big brown dog chases a small white dog around in the grass.
The dog is trying to chase the smaller one away.,The dog is trying to chase the small one away.
An older man and a younger man are squatting in front of a motorcycle.,An older man and a young man are squatting in front of a motorcycle.
a younger man with long hair standing beside an older man holding a crying child.,a young man with long hair standing beside an older man holding a crying child.
younger men are coooking,young men are coooking
Two younger people are being pulled on watercraft behind a boat.,Two young people are being pulled on watercraft behind a boat.
Two guys climb a tree for a better view of the water.,Two guys climb a tree for a good view of the water.
The street performer is no longer playing a drum.,The street performer is no long playing a drum.
Four kids wearing matching clothes gather around a taller man.,Four kids wearing matching clothes gather around a tall man.
The race car is running faster than all the other cars.,The race car is running fast
There is a smaller box that we can't see.,There is a small box that we can't see.
Two younger girls in a karate match.,Two young girls in a karate match.
A girl laughs while holding an younger girl on her back and facing a small child.,A girl laughs while holding an young girl on her back and facing a small child.
A girl is laughing and carrying a younger girl by a small child.,A girl is laughing and carrying a young girl by a small child.
A rugby player is about to pass the ball because he is much slower than his adjacent teammate.,A rugby player is about to pass the ball because he is much slow
The dog is larger than the bull.,The dog is large
A man stands up on a platform for a better look at a large crane.,A man stands up on a platform for a good look at a large crane.
"Two children, one older and one younger, are sitting on black and white pillows, and the older child is wearing a gray shirt while the younger child is wearing a white shirt.","Two children, one older and one younger, are sitting on black and white pillows, and the older child is wearing a gray shirt while the young child is wearing a white shirt."
"Something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the ""tips"" of his fans.",Something seems to be good
An old man can no longer see.,An old man can no long see.
A younger couple playing a board game.,A young couple playing a board game.
The trees are taller than the building.,The trees are tall
The lower halves of two kids playing soccer,The low halves of two kids playing soccer
A man playing tennis jumped higher than a kite.,A man playing tennis jumped high
A young man wearing a white shirt and a yarmulke bows before an older man who wears a prayer shawl and yarmulke and holds the younger man's head in his hands.,A young man wearing a white shirt and a yarmulke bows before an older man who wears a prayer shawl and yarmulke and holds the young man's head in his hands.
The bull is larger than the tan animal.,The bull is large
"A small animal leaps behind a larger animal, the larger animal's tail obscuring the smaller one's face.","A small animal leaps behind a larger animal, the larger animal's tail obscuring the small one's face."
A child stands lower than a man as he dances.,A child stands low
"Two young girl jumps into a small, round area of deeper water while a young boy looks on while running past.","Two young girl jumps into a small, round area of deep water while a young boy looks on while running past."
The old man and younger man are in a band together,The old man and young man are in a band together
The old man and younger man are father and son,The old man and young man are father and son
The old man and younger follow play musical instruments,The old man and young follow play musical instruments
A man wearing a hat is standing at a food stand leaning against a cooler,A man wearing a hat is standing at a food stand leaning against a cool
A man wearing a hat is standing at a food stand propped against a cooler,A man wearing a hat is standing at a food stand propped against a cool
A man wearing a hat is sitting at a food stand sitting against a cooler,A man wearing a hat is sitting at a food stand sitting against a cool
A diner is viewing others dining on the lower level.,A diner is viewing others dining on the low level.
a younger man shoveling snow,a young man shoveling snow
"Two men, one younger and the other older, stationed at what looks like a control board at an airport.","Two men, one young and the other older, stationed at what looks like a control board at an airport."
The wooden desk is smaller than a breadbox.,The wooden desk is small
"Two little guys sitting on a brick wall, the younger one is reading something to the older one.","Two little guys sitting on a brick wall, the young one is reading something to the older one."
Two young children sit apart from a larger group of children in a dirty street outside a building.,Two young children sit apart from a large group of children in a dirty street outside a building.
With a dog that is taller then a man can talk,With a dog that is tall then a man can talk
A little boy began to panic as the bigger boys were splashing him in the face while he was trying to enjoy a rid on the yellow waterslide.,A little boy began to panic as the big boys were splashing him in the face while he was trying to enjoy a rid on the yellow waterslide.
"Three women in greenish-blue collared sweatshirts, one holding a baby, stand in front of a larger crowd.","Three women in greenish-blue collared sweatshirts, one holding a baby, stand in front of a large crowd."
A group of younger people posing in front of a guard rail on the side of a road.,A group of young people posing in front of a guard rail on the side of a road.
A group of younger peeople pose in front of a guard rail on the side of the street.,A group of young peeople pose in front of a guard rail on the side of the street.
a younger woman laughing,a young woman laughing
"A man with a white rag over the lower portion of his face, wearing a black shirt, that looks to be bleeding, or have blood on the rag.","A man with a white rag over the low portion of his face, wearing a black shirt, that looks to be bleeding, or have blood on the rag."
An elderly man watches a younger man grill various foods.,An elderly man watches a young man grill various foods.
The ski is no longer needed,The ski is no long needed
A younger women and man stand in the shade of trees.,A young women and man stand in the shade of trees.
a younger man playing guitar,a young man playing guitar
younger men are working to fix a railroad,young men are working to fix a railroad
Two younger children are at an event both holding two sticks.,Two young children are at an event both holding two sticks.
The younf man and old woman passed by the wall with graffitti so they could get home faster,The younf man and old woman passed by the wall with graffitti so they could get home fast
An older man is hugging a younger girl.,An older man is hugging a young girl.
An older person is hugging a younger girl.,An older person is hugging a young girl.
An older woman is hugging a younger girl.,An older woman is hugging a young girl.
An sad man is hugging a younger girl.,An sad man is hugging a young girl.
The three speed skaters were racing to see who was faster,The three speed skaters were racing to see who was fast
An older man in a tank top and a younger girl in striped shirt pose on a couch.,An older man in a tank top and a young girl in striped shirt pose on a couch.
The game is taking place during a colder month.,The game is taking place during a cold month.
A large dog stands with a smaller dog near the edge of the water.,A large dog stands with a small dog near the edge of the water.
A person cutting a steak into smaller pieces.,A person cutting a steak into small pieces.
A few girls are in a classroom while one girl gestures to a shorter girl.,A few girls are in a classroom while one girl gestures to a short girl.
"Two women are looking at a camera, one is shorter with brown hair, while the other is blond and a bit taller.","Two women are looking at a camera, one is short with brown hair, while the other is blond and a bit taller."
"Three men who are priest, one of which is of a higher order, address a crowd at a religious gathering.","Three men who are priest, one of which is of a high order, address a crowd at a religious gathering."
"A male metal worker using a welding tool in his right hand, while holding the mask in his left hand, in a mid-lower or lower class neighborhood.","A male metal worker using a welding tool in his right hand, while holding the mask in his left hand, in a mid-lower or low class neighborhood."
Four younger children play Monopoly on the living room floor with an older woman and a gray-haired man.,Four young children play Monopoly on the living room floor with an older woman and a gray-haired man.
A lady wants to get a better view of the brass section of the band.,A lady wants to get a good view of the brass section of the band.
two younger men outside,two young men outside
two younger men pray,two young men pray
A woman plays with her dog on a dock to help him get better at swimming.,A woman plays with her dog on a dock to help him get good at swimming.
There is an older female and a younger male outdoors.,There is an older female and a young male outdoors.
"A man and a much younger boy, both wearing hats, taking a stroll through nature.","A man and a much young boy, both wearing hats, taking a stroll through nature."
A younger male is not sitting on a chair.,A young male is not sitting on a chair.
Two children one young the other younger and in a field in front of yellow tape.,Two children one young the other young and in a field in front of yellow tape.
Tourist using the binoculars to get a better view of the serene ocean.,Tourist using the binoculars to get a good view of the serene ocean.
There are people looking at information on finding a better house.,There are people looking at information on finding a good house.
Two men move to a better location to sell more coconut water on a hot day.,Two men move to a good location to sell more coconut water on a hot day.
two younger men pushing a large golf ball,two young men pushing a large golf ball
A snail runs faster than the teenage girls.,A snail runs fast
A big gold-colored dog jumping over a smaller black dog.,A big gold-colored dog jumping over a small black dog.
Three younger women sit outside and have a chat.,Three young women sit outside and have a chat.
A child pushing their younger sibling in a stroller.,A child pushing their young sibling in a stroller.
There is a child pushing their younger sister.,There is a child pushing their young sister.
There is a child pushing their younger sibling.,There is a child pushing their young sibling.
Two toddlers and a younger man enjoy their bottles.,Two toddlers and a young man enjoy their bottles.
A brown dog is jumping on top of a smaller white dog and there is a colorful ball on the floor.,A brown dog is jumping on top of a small white dog and there is a colorful ball on the floor.
A pug stands on the bank of a pond while a larger dog stands in the water.,A pug stands on the bank of a pond while a large dog stands in the water.
"Two girls are jumping over another girl, while a smaller girl watches.","Two girls are jumping over another girl, while a small girl watches."
A picture of a live duck on profile with head turned toward the camera in front of three younger children walking in the camera's direction.,A picture of a live duck on profile with head turned toward the camera in front of three young children walking in the camera's direction.
Seniors as well as a younger couple enjoy dancing at a get together.,Seniors as well as a young couple enjoy dancing at a get together.
A man is getting a drink out of the cooler in front of the market.,A man is getting a drink out of the cool in front of the market.
A woman is trying to swing higher than her friend.,A woman is trying to swing high
"An older woman is paying for her purchase, while a younger woman is taking her money to complete the transaction.","An older woman is paying for her purchase, while a young woman is taking her money to complete the transaction."
An older woman is paying money to the younger woman in counter to complete the transaction of her purchase,An older woman is paying money to the young woman in counter to complete the transaction of her purchase
"Three females hurry across a street, two are woman, and one is a smaller child.","Three females hurry across a street, two are woman, and one is a small child."
"Two women, one in white-rimmed sunglasses and a green skirt, the other in a longer navy skirt, converse with each other.","Two women, one in white-rimmed sunglasses and a green skirt, the other in a long navy skirt, converse with each other."
One boy is taller by the fence.,One boy is tall by the fence.
a younger man is working outdoors,a young man is working outdoors
The woman is taller than her sister,The woman is tall
Even in cooler weather men will get out and play with their model planes.,Even in cool weather men will get out and play with their model planes.
An older brother teaches his younger brother a new skateboard trick.,An older brother teaches his young brother a new skateboard trick.
The restaurant is no longer in business.,The restaurant is no long in business.
The trees are bigger than a foot.,The trees are big
An elder workman speaking to a younger workman.,An elder workman speaking to a young workman.
The boy won Wimbledon by hitting the ball better than everyone else.,The boy won Wimbledon by hitting the ball good
A young man is sad that the snow covers the ground because he can no longer skateboard.,A young man is sad that the snow covers the ground because he can no long skateboard.
a soldier crouches beside a tank with a larger vehicle obscured in the background.,a soldier crouches beside a tank with a large vehicle obscured in the background.
The mop is taller than the boy.,The mop is tall
An older woman shows a younger male child a reptilian animal while a young girl sits in the background.,An older woman shows a young male child a reptilian animal while a young girl sits in the background.
Older men and females are watching the younger men carry a hot object.,Older men and females are watching the young men carry a hot object.
The large dog is bothered by the smaller dog.,The large dog is bothered by the small dog.
A person giving directions to a crowd of younger people.,A person giving directions to a crowd of young people.
Two people are speaking to each other within a larger group.,Two people are speaking to each other within a large group.
A group of men are standing around a water cooler in an office building.,A group of men are standing around a water cool in an office building.
A bus goes faster than the bicycle,A bus goes fast
this man is works harder than most people in the world.,this man is works hard
Three younger men dressed casually are standing around conversing.,Three young men dressed casually are standing around conversing.
The bigger team is winning the football game against the other team.,The big team is winning the football game against the other team.
There is a man holding a younger person.,There is a man holding a young person.
A lady photojournalist is getting a better perspective of the scene.,A lady photojournalist is getting a good perspective of the scene.
A younger boy is at the dentist holding someone's hand.,A young boy is at the dentist holding someone's hand.
The guy is trying to get a better view to take a photo.,The guy is trying to get a good view to take a photo.
An older boy with his arm around a younger kid under a sequoia tree.,An older boy with his arm around a young kid under a sequoia tree.
An older woman in a scarf and fur-lined coat sits down across from a younger woman who is standing.,An older woman in a scarf and fur-lined coat sits down across from a young woman who is standing.
The boy wearing the bib is younger than the boy in the plaid shirt.,The boy wearing the bib is young
Three children gathered around a rock while one crushes smaller rocks on top of it.,Three children gathered around a rock while one crushes small rocks on top of it.
An older man is talking to a younger women.,An older man is talking to a young women.
A child is looking through binoculars on a boat while her younger sister waits next to her.,A child is looking through binoculars on a boat while her young sister waits next to her.
A younger person wearing long sleeves.,A young person wearing long sleeves.
An older dog and a younger one playing with a toy.,An older dog and a young one playing with a toy.
The boy is younger than the woman.,The boy is young
A younger man and older man are in the water.,A young man and older man are in the water.
Two young girls are playing in the forest; the younger one is climbing a short tree and is about 2 feet off the ground.,Two young girls are playing in the forest; the young one is climbing a short tree and is about 2 feet off the ground.
"The younger of two girls playing in a forest is climbing a tree, about two feet up.","The young of two girls playing in a forest is climbing a tree, about two feet up."
The two friends race to see who is faster,The two friends race to see who is fast
The female needed air so she can swim faster,The female needed air so she can swim fast
The older woman is using hand motions while the younger woman sits and watches.,The older woman is using hand motions while the young woman sits and watches.
A man in a red shirt is jumping from one rock to another larger rocker with two male spotters below him.,A man in a red shirt is jumping from one rock to another large rocker with two male spotters below him.
A short-haired woman speaks passionately to a group of younger women wearing traditional Indian dress.,A short-haired woman speaks passionately to a group of young women wearing traditional Indian dress.
A long haired woman is sleeping while a group of younger women look in the opposite direction.,A long haired woman is sleeping while a group of young women look in the opposite direction.
A woman is giving a speech on drunk driving to younger women.,A woman is giving a speech on drunk driving to young women.
The woman with short-hair spoke to the group of younger women.,The woman with short-hair spoke to the group of young women.
A woman speaks about her respect for the younger generation's keeping to traditions.,A woman speaks about her respect for the young generation's keeping to traditions.
A long-haired woman speaks dismissively about younger women's hip clothing.,A long-haired woman speaks dismissively about young women's hip clothing.
A woman is giving a speech to younger women.,A woman is giving a speech to young women.
The woman sang passionately to a group of younger women about wearing traditional Indian dresses.,The woman sang passionately to a group of young women about wearing traditional Indian dresses.
A human with short hair is among a group of younger humans.,A human with short hair is among a group of young humans.
An older man watching as a younger man fiddles with something on his horse.,An older man watching as a young man fiddles with something on his horse.
The younger man is a horseback rider.,The young man is a horseback rider.
The  ball  was  bigger then they  thought,The ball was big then they thought
"Two shirtless Indian men in a park, next to a younger boy on a bike.","Two shirtless Indian men in a park, next to a young boy on a bike."
A toddler in dirty jeans attempts to pull a younger child in a wagon.,A toddler in dirty jeans attempts to pull a young child in a wagon.
A smaller white dog is trying to get a hold of a stick that a bigger tri-colored dog has in its mouth.,A smaller white dog is trying to get a hold of a stick that a big tri-colored dog has in its mouth.
The smaller dog is winning the stick over the bigger dog.,The smaller dog is winning the stick over the big dog.
A smaller dog is trying to get the stick from the bigger dog,A smaller dog is trying to get the stick from the big dog
The soccer player with the gold jersey is taller than the opposing team player.,The soccer player with the gold jersey is tall
The water is hotter than the sun.,The water is hot
A younger female is not walking.,A young female is not walking.
The football player with the football is shorter than his teammates.,The football player with the football is short
A man and woman are burying a younger person in the sand at a beach.,A man and woman are burying a young person in the sand at a beach.
Three people sitting on a couch inside a house dressed warmly and the oldest is covering the two younger kids eyes.,Three people sitting on a couch inside a house dressed warmly and the oldest is covering the two young kids eyes.
Two girls in matching pink and white dresses and two smaller boys in matching black and white shirts.,Two girls in matching pink and white dresses and two small boys in matching black and white shirts.
Three younger males riding in city transportation passing brick buildings on their right side.,Three young males riding in city transportation passing brick buildings on their right side.
A younger man takes a picture of what an older women stands over.,A young man takes a picture of what an older women stands over.
The arena is larger than the group of people.,The arena is large
The men are getting higher in elevation.,The men are getting high in elevation.
"Two men, one younger guy with a yellow shirt that has luggage and the other and older guy, are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses.","Two men, one young guy with a yellow shirt that has luggage and the other and older guy, are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses."
The younger person is carrying a grocery bag.,The young person is carrying a grocery bag.
The younger guy is bicycling outside.,The young guy is bicycling outside.
A girl with a white backpack is standing and smaller children are sitting in a row on the ground.,A girl with a white backpack is standing and small children are sitting in a row on the ground.
The girl is watching the smaller children.,The girl is watching the small children.
A little boy jumps in the air while his younger brother looks on.,A little boy jumps in the air while his young brother looks on.
A man is better on a horse race.,A man is good on a horse race.
This women's husband is trying to be funny and making her day a lot better after their vehicle breaking down.,This women's husband is trying to be funny and making her day a lot good after their vehicle breaking down.
Several adults and children rioting for smaller class sizes.,Several adults and children rioting for small class sizes.
Two small dogs follow a larger dog with a tennis ball,Two small dogs follow a large dog with a tennis ball
The two small dogs are going after a bigger dog.,The two small dogs are going after a big dog.
The black dog runs with a ball with two smaller dogs behind it.,The black dog runs with a ball with two small dogs behind it.
The two smaller dogs are chasing the black dog.,The two small dogs are chasing the black dog.
A large brown dog and a larger black dog playing together with a ball.,A large brown dog and a large black dog playing together with a ball.
Two little dogs are lying on the green grass and a larger dog looks down on them.,Two little dogs are lying on the green grass and a large dog looks down on them.
Two Volkswagens get ready to determine how much faster the newer model is,Two Volkswagens get ready to determine how much faster the new model is
An older car races a newer version of the same model,An older car races a new version of the same model
People are looking at the mirror to better see the demonstration.,People are looking at the mirror to good see the demonstration.
A group of younger men standing outside the front of an abandoned building with graffiti on it.,A group of young men standing outside the front of an abandoned building with graffiti on it.
A group of younger men with backpacks are standing outside an abandoned building with graffiti on it.,A group of young men with backpacks are standing outside an abandoned building with graffiti on it.
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.","A choir consisting of children dressed in blue, young members in red, and older in black, is performing on a 2nd floor overlook."
"Two men photograph pink flowers, one with a small digital camera and one with a larger lens.","Two men photograph pink flowers, one with a small digital camera and one with a large lens."
younger people are fishing,young people are fishing
